VDS 코드,,
VDS_ID,GRS80X좌표값,GRS80Y좌표값
0010VDE17500,387497.629012,315277.670308
0010VDE17600,387531.713733,315371.728118
0010VDE17700,387564.628111,315466.196446
0010VDE17800,387594.103256,315561.791607
0010VDE17900,387619.822538,315658.46546
0010VDE17951,387641.770766,315756.063858
0010VDE17952,387659.988803,315854.426036
0010VDE17953,387674.52977,315953.400125
0010VDE17955,387687.465092,316052.603537
0010VDE17956,387700.400413,316151.80695
0010VDE17957,387713.335735,316251.010362
0010VDE18540,387726.271056,316350.213774
0010VDE18561,387739.206377,316449.417186
0010VDE18562,387752.141698,316548.620598
0010VDE18563,387765.914989,316647.706789
0010VDE18564,387783.377878,316746.203982
0010VDE18565,387804.931114,316843.88882
0010VDE18566,387830.504842,316940.599254
0010VDE18700,387860.175356,317036.132562
0010VDE18800,387893.696179,317130.383814
0010VDE18900,387931.195094,317223.124029
0010VDE19000,387972.502801,317314.231352
0010VDE19100,388017.500397,317403.574602
0010VDE19200,388066.27445,317490.914602
0010VDE19400,388118.64015,317576.148017
0010VDE19700,388174.420057,317659.187871
0010VDE19800,388233.624638,317739.824679
0010VDE19900,388294.069632,317819.5432
0010VDE20000,388353.866876,317899.745081
0010VDE20100,388409.130212,317983.10812
0010VDE20110,388457.334335,318070.736939
0010VDE20203,388497.967644,318162.118299
0010VDE20300,388531.032676,318256.50235
0010VDE20400,388556.222527,318353.288316
0010VDE20500,388577.191267,318451.109333
0010VDE20600,388598.160008,318548.930349
0010VDE20750,388619.128748,318646.751365
0010VDE20780,388640.097488,318744.572381
0010VDE20800,388661.066228,318842.393397
0010VDE20900,388681.94771,318940.233066
0010VDE21000,388704.379367,319037.723728
0010VDE21100,388729.943237,319134.439961
0010VDE21200,388758.692302,319230.25922
0010VDE21210,388788.855023,319325.646475
0010VDE21310,388818.349413,319421.243128
0010VDE21350,388847.703466,319516.881995
0010VDE21400,388875.841487,319612.886635
0010VDE21500,388902.88975,319709.202312
0010VDE21510,388929.665717,319805.595708
0010VDE21600,388955.81554,319902.159936
0010VDE21610,388981.702277,319998.795933
0010VDE21700,389007.589013,320095.43193
0010VDE21800,389033.47575,320192.067928
0010VDE21900,389059.362486,320288.703925
0010VDE22000,389085.249223,320385.339922
0010VDE22100,389111.135839,320481.975951
0010VDE22200,389137.022426,320578.611988
0010VDE22300,389163.975679,320674.949475
0010VDE22400,389195.135086,320770.006366
0010VDE22500,389230.875069,320863.436972
0010VDE22600,389269.199217,320955.848121
0010VDE22700,389307.617111,321048.220761
0010VDE22710,389346.035004,321140.5934
0010VDE22720,389384.452615,321232.966157
0010VDE22800,389422.79191,321325.371351
0010VDE22900,389459.08145,321418.592457
0010VDE23000,389489.73127,321513.801729
0010VDE23010,389513.432185,321610.973614
0010VDE23020,389530.18718,321709.583361
0010VDE23100,389542.113652,321808.909381
0010VDE23300,389552.909272,321908.368384
0010VDE23400,389563.698018,322007.828133
0010VDE23500,389575.210204,322107.20464
0010VDE23600,389589.201978,322206.261592
0010VDE23610,389605.758262,322304.922318
0010VDE23620,389624.885638,322403.11685
0010VDE23700,389645.155098,322501.084971
0010VDE23800,389668.449064,322598.362597
0010VDE23900,389695.992374,322694.539633
0010VDE24000,389723.781328,322790.647144
0010VDE24100,389751.52988,322886.766211
0010VDE24200,389777.628312,322983.343506
0010VDE24300,389801.273585,323080.550518
0010VDE24400,389822.427988,323178.329505
0010VDE24500,389842.140842,323276.412546
0010VDE24600,389861.853697,323374.495586
0010VDE24700,389881.566551,323472.578626
0010VDE24800,389901.279405,323570.661666
0010VDE24900,389920.983368,323668.746493
0010VDE25000,389940.685065,323766.831774
0010VDE25100,389960.38672,323864.917065
0010VDE25200,389980.088329,323963.002364
0010VDE25300,389999.843407,324061.076868
0010VDE25310,390021.334478,324158.780579
0010VDE25320,390046.178833,324255.686986
0010VDE25400,390074.208597,324351.719657
0010VDE25500,390105.58102,324446.712013
0010VDE25600,390138.583152,324541.156261
0010VDE25610,390171.681113,324635.567089
0010VDE25700,390204.76049,324729.984428
0010VDE25800,390237.466279,324824.531413
0010VDE25810,390269.552297,324919.290607
0010VDE25900,390300.902758,325014.295654
0010VDE26000,390331.626218,325109.505365
0010VDE26100,390361.641843,325204.940624
0010VDE26200,390390.97536,325300.587762
0010VDE26300,390419.686359,325396.423783
0010VDE26310,390448.358624,325492.271477
0010VDE26311,390477.030889,325588.119171
0010VDE26350,390505.703153,325683.966864
0010VDE26400,390534.375342,325779.814581
0010VDE26500,390563.047483,325875.662311
0010VDE26600,390591.713152,325971.511977
0010VDE26700,390620.377146,326067.362145
0010VDE26750,390649.041104,326163.212323
0010VDE26800,390677.705024,326259.062512
0010VDE26900,390706.368888,326354.912718
0010VDE27000,390735.032712,326450.762935
0010VDE27100,390763.6965,326546.613164
0010VDE27150,390792.360297,326642.463389
0010VDE27200,390821.024089,326738.313617
0010VDE27300,390849.687869,326834.163847
0010VDE27310,390878.267772,326930.038872
0010VDE27320,390903.687368,327026.788837
0010VDE27400,390924.251952,327124.686119
0010VDE27500,390939.873375,327223.492755
0010VDE27600,390953.041268,327322.662033
0010VDE27610,390970.723874,327421.120684
0010VDE27700,390993.293398,327518.574922
0010VDE27710,391020.693314,327614.783157
0010VDE27720,391052.890893,327709.493749
0010VDE27800,391089.770157,327802.481014
0010VDE27900,391131.239493,327893.514383
0010VDE28000,391177.228806,327982.349981
0010VDE28200,391226.110009,328069.639516
0010VDE28300,391275.033227,328156.905763
0010VDE28400,391323.968393,328244.16531
0010VDE28500,391372.903941,328331.424642
0010VDE28600,391421.764824,328418.725795
0010VDE28700,391470.602668,328506.039849
0010VDE28800,391519.456232,328593.345104
0010VDE28900,391568.364723,328680.619602
0010VDE29000,391617.304859,328767.876361
0010VDE29010,391666.244974,328855.133133
0010VDE29020,391715.184959,328942.389977
0010VDE29100,391764.124911,329029.646839
0010VDE29200,391813.064864,329116.903701
0010VDE29300,391862.004816,329204.160563
0010VDE29310,391910.944768,329291.417425
0010VDE29320,391959.88472,329378.674287
0010VDE29400,392008.824672,329465.931149
0010VDE29500,392057.764624,329553.188012
0010VDE29600,392106.704461,329640.444938
0010VDE29610,392155.64423,329727.701903
0010VDE29611,392204.583971,329814.958883
0010VDE29620,392253.523668,329902.215888
0010VDE29650,392302.463337,329989.472909
0010VDE29800,392351.402969,330076.72995
0010VDE29900,392400.341539,330163.987586
0010VDE30000,392448.561163,330251.639922
0010VDE30010,392493.323181,330341.094926
0010VDE30100,392533.308412,330432.789515
0010VDE30110,392568.68909,330526.357342
0010VDE30200,392602.788887,330620.410957
0010VDE30300,392636.888684,330714.464572
0010VDE30400,392670.988481,330808.518186
0010VDE30450,392705.088278,330902.571801
0010VDE30500,392739.188074,330996.625415
0010VDE30600,392773.260936,331090.68879
0010VDE30650,392807.327055,331184.754608
0010VDE30700,392841.393142,331278.820437
0010VDE30800,392875.459192,331372.88628
0010VDE30900,392909.525203,331466.952136
0010VDE30910,392943.591132,331561.018022
0010VDE31000,392977.657049,331655.083913
0010VDE31010,393011.722922,331749.149819
0010VDE31200,393045.508783,331843.315371
0010VDE31210,393076.674015,331938.374628
0010VDE31220,393104.383739,332034.498637
0010VDE31300,393128.601774,332131.562175
0010VDE31400,393149.248777,332229.448331
0010VDE31500,393168.059909,332327.708109
0010VDE31650,393186.83378,332425.975194
0010VDE31800,393205.607602,332524.242288
0010VDE31900,393224.346183,332622.516107
0010VDE32150,393246.305356,332745.114415
0010VDE32250,393265.261348,332843.481331
0010VDE32350,393283.385341,332942.006607
0010VDE32400,393302.763824,333040.286504
0010VDE32500,393321.098239,333138.772518
0010VDE32501,393340.247994,333237.096805
0010VDE32502,393358.449309,333335.607228
0010VDE32503,393376.945241,333434.063313
0010VDS00100,393395.288958,333532.547346
0010VDS00200,393414.706188,333630.825258
0010VDS00300,393433.630969,333729.199868
0010VDS00400,393452.648475,333827.556629
0010VDS00500,393472.491539,333925.747007
0010VDS00600,393491.154821,334024.170252
0010VDS00700,393510.43581,334122.457896
0010VDS00800,393529.716775,334220.745409
0010VDS00900,393548.998761,334319.038133
0010VDS01000,393567.46653,334417.55115
0010VDS01100,393585.395695,334515.771747
0010VDS01200,393609.291109,334612.930118
0010VDS01300,393636.723724,334708.721298
0010VDS01500,393671.819142,334802.449932
0010VDS01600,393708.164191,334895.801021
0010VDS01700,393745.78351,334988.583
0010VDS01800,393782.359584,335081.934701
0010VDS01900,393818.718357,335175.225183
0010VDS02000,393855.996423,335268.199444
0010VDS02100,393892.688778,335361.481241
0010VDS02200,393928.876087,335454.891793
0010VDS02300,393965.474094,335548.084344
0010VDS02400,394002.24547,335641.255207
0010VDS02500,394038.90653,335734.478675
0010VDS02600,394075.630819,335827.679586
0010VDS02700,394112.469311,335920.837894
0010VDS02800,394149.48823,336013.90944
0010VDS02850,394186.758471,336106.892421
0010VDS02900,394223.633508,336200.070821
0010VDS03000,394260.125782,336293.365362
0010VDS03100,394296.618305,336386.660543
0010VDS03200,394333.110771,336479.955578
0010VDS03300,394369.938397,336573.093205
0010VDS03400,394406.860392,336666.213179
0010VDS03500,394443.782535,336759.333529
0010VDS03600,394480.66792,336852.489447
0010VDS03700,394517.948678,336945.308641
0010VDS03800,394558.78172,337036.414483
0010VDS04000,394602.668353,337125.8958
0010VDS04100,394649.655696,337213.920008
0010VDS04105,394699.412493,337300.526311
0010VDS04110,394751.995086,337385.675114
0010VDS04115,394806.270027,337469.486754
0010VDS04120,394861.936254,337552.781185
0010VDS04125,394917.552864,337636.101957
0010VDS04130,394973.095792,337719.742701
0010VDS04135,395026.6379,337804.693889
0010VDS04140,395074.806251,337893.894277
0010VDS04145,395109.496669,337988.346259
0010VDS04150,395136.787765,338085.021351
0010VDS04155,395162.717967,338181.677153
0010VDS04160,395188.078045,338278.675025
0010VDS04165,395213.591791,338375.519405
0010VDS04170,395239.18262,338472.358033
0010VDS04175,395264.957381,338569.161001
0010VDS04180,395290.980811,338665.867975
0010VDS04185,395319.897057,338761.627691
0010VDS04190,395355.575962,338854.784872
0010VDS04195,395395.959514,338946.158337
0010VDS04200,395439.681656,339035.976642
0010VDS04205,395483.854868,339126.049509
0010VDS04210,395527.350879,339216.27719
0010VDS04215,395570.893616,339306.491158
0010VDS04220,395614.4871,339396.686599
0010VDS04225,395655.846066,339488.158378
0010VDS04230,395693.166432,339581.374888
0010VDS04235,395726.855996,339675.749411
0010VDS04240,395755.334448,339771.874207
0010VDS04245,395782.600329,339868.26782
0010VDS04250,395808.539301,339965.024079
0010VDS04255,395833.853524,340061.951281
0010VDS04260,395859.564814,340158.772445
0010VDS04265,395885.460501,340255.546022
0010VDS04270,395911.98103,340352.148886
0010VDS04275,395938.511475,340448.750286
0010VDS04280,395965.040159,340545.352294
0010VDS04285,395992.144245,340642.947779
0010VDS04290,396020.753642,340737.791873
0010VDS04295,396050.878569,340833.139739
0010VDS04300,396088.179115,340925.449907
0010VDS04305,396128.70508,341016.716466
0010VDS04310,396170.632816,341107.811053
0010VDS04315,396212.40284,341198.595991
0010VDS04320,396255.044819,341289.52036
0010VDS04325,396296.41041,341380.650719
0010VDS04330,396338.449369,341471.58956
0010VDS04335,396380.401157,341562.551051
0010VDS04340,396423.052809,341653.029654
0010VDS04345,396465.451177,341743.874927
0010VDS04350,396507.307295,341835.054343
0010VDS04355,396548.651424,341926.299714
0010VDS04400,396586.90046,342020.057373
0010VDS04500,396618.713826,342115.937821
0010VDS04600,396647.392639,342211.982878
0010VDS04700,396675.833398,342308.039048
0010VDS04800,396704.273232,342404.092093
0010VDS04900,396732.683777,342500.159772
0010VDS05000,396761.05367,342596.236801
0010VDS05100,396789.422054,342692.30872
0010VDS05200,396817.893659,342788.337158
0010VDS05300,396846.377678,342884.378847
0010VDS05400,396874.861291,342980.422838
0010VDS05500,396903.263208,343076.485812
0010VDS05600,396931.665382,343172.549651
0010VDS05700,396959.725575,343268.786994
0010VDS05800,396983.76233,343366.072911
0010VDS05900,396999.348619,343463.250019
0010VDS06000,397006.439713,343561.846727
0010VDS06100,397012.954183,343661.740857
0010VDS06200,397019.306654,343761.475499
0010VDS06300,397025.434084,343861.27931
0010VDS06400,397035.657592,343961.054614
0010VDS06500,397055.442829,344057.912233
0010VDS06600,397086.244118,344152.084526
0010VDS06700,397123.304713,344242.712389
0010VDS06800,397169.53155,344331.626387
0010VDS06900,397215.569894,344420.622462
0010VDS07000,397261.512392,344509.638752
0010VDS07100,397307.107375,344599.314139
0010VDS07200,397349.775934,344690.605344
0010VDS07300,397388.576835,344783.736721
0010VDS07400,397425.412898,344877.356253
0010VDS07500,397458.450568,344972.580624
0010VDS07600,397488.376368,345068.643301
0010VDS07700,397515.785621,345165.340623
0010VDS07800,397541.791623,345262.154793
0010VDS07900,397567.904218,345358.765963
0010VDS08000,397594.725825,345455.284154
0010VDS08100,397621.547972,345551.804289
0010VDS08200,397648.368614,345648.319012
0010VDS08300,397674.872609,345744.995834
0010VDS08400,397701.009604,345841.703203
0010VDS08500,397727.14662,345938.410649
0010VDS08600,397753.283822,346035.118783
0010VDS08700,397779.112636,346132.022419
0010VDS08800,397797.246134,346231.422135
0010VDS08900,397808.937032,346331.368117
0010VDS09000,397816.678083,346431.474747
0010VDS09100,397823.056691,346531.444166
0010VDS09200,397829.435447,346631.415901
0010VDS09300,397835.819839,346731.389262
0010VDS09400,397842.21225,346831.354905
0010VDS09500,397848.605194,346931.32888
0010VDS09600,397855.170336,347030.80681
0010VDS09700,397871.219166,347128.40358
0010VDS09800,397903.828819,347220.980359
0010VDS09900,397941.62921,347313.639649
0010VDS10000,397979.096614,347406.35767
0010VDS10100,398017.028825,347498.479813
0010VDS10200,398056.166338,347590.493632
0010VDS10300,398093.534223,347683.945674
0010VDS10400,398130.446069,347776.701043
0010VDS10500,398167.230037,347870.338679
0010VDS10600,398200.726876,347965.064969
0010VDS10700,398229.689682,348061.709157
0010VDS10800,398253.444926,348159.971033
0010VDS10900,398275.499538,348257.467564
0010VDS11000,398297.37182,348355.114757
0010VDS11100,398319.151495,348452.7187
0010VDS11200,398340.87463,348550.352308
0010VDS11300,398362.550496,348647.978882
0010VDS11400,398383.863514,348745.905192
0010VDS11500,398404.406415,348843.777742
0010VDS11650,398424.255486,348942.221668
0010VDS11700,398442.211877,349040.58922
0010VDS11800,398459.413867,349139.782726
0010VDS11900,398472.654979,349238.88038
0010VDS12000,398486.586935,349337.619437
0010VDS12100,398502.837645,349436.003663
0010VDS12200,398521.634047,349533.760916
0010VDS12300,398543.06411,349631.438123
0010VDS12400,398564.116024,349729.957251
0010VDS12500,398580.491858,349828.927037
0010VDS12600,398593.437689,349928.788935
0010VDS12700,398601.400437,350028.419039
0010VDS12800,398606.629784,350128.62303
0010VDS12900,398607.006946,350228.740813
0010VDS13000,398607.215335,350328.746072
0010VDS13100,398607.292384,350428.767667
0010VDS13200,398606.893822,350528.772139
0010VDS13300,398606.495269,350628.774286
0010VDS13400,398606.070425,350728.773006
0010VDS13500,398605.64065,350828.768941
0010VDS13600,398605.801482,350928.782819
0010VDS13650,398605.163862,351028.787436
0010VDS13651,398605.421966,351128.793087
0010VDS13700,398604.632497,351228.796246
0010VDS13800,398603.835574,351328.799676
0010VDS13900,398603.08705,351428.80229
0010VDS14100,398602.48544,351528.806079
0010VDS14200,398601.476205,351628.807483
0010VDS14300,398599.676872,351728.792223
0010VDS14400,398592.06327,351828.587764
0010VDS14500,398584.189524,351927.900847
0010VDS14600,398574.394988,352027.454867
0010VDS14700,398563.082315,352126.826215
0010VDS14800,398551.674566,352226.162969
0010VDS14900,398540.085681,352325.496069
0010VDS15000,398528.406934,352424.738393
0010VDS15100,398515.33442,352523.881955
0010VDS15200,398502.511817,352623.106254
0010VDS15300,398490.404538,352722.358791
0010VDS15400,398478.298472,352821.601381
0010VDS15500,398466.146343,352920.853152
0010VDS15600,398453.942555,353020.094014
0010VDS15700,398445.685248,353119.638367
0010VDS15800,398451.214377,353219.303084
0010VDS15900,398473.614333,353316.216909
0010VDS16000,398509.010176,353408.932217
0010VDS16100,398551.556711,353499.312002
0010VDS16200,398594.362485,353589.471645
0010VDS16300,398636.702536,353680.370171
0010VDS16400,398673.590253,353774.820222
0010VDS16500,398693.343861,353873.588701
0010VDS16600,398698.95095,353973.713061
0010VDS16700,398693.237828,354073.423412
0010VDS16800,398687.306242,354173.249089
0010VDS16900,398681.044499,354273.037574
0010VDS17000,398674.587208,354372.842527
0010VDS17100,398668.50884,354472.643778
0010VDS17200,398662.666002,354572.447777
0010VDS17300,398656.822292,354672.266654
0010VDS17400,398650.197088,354772.087983
0010VDS17500,398642.190671,354871.938722
0010VDS17600,398629.547637,354971.504045
0010VDS17700,398608.405586,355069.416311
0010VDS17800,398579.833385,355165.184749
0010VDS17900,398542.094672,355257.72459
0010VDS17951,398495.943543,355346.378301
0010VDS17952,398444.272724,355431.933905
0010VDS17953,398387.700914,355514.427288
0010VDS17954,398337.404879,355600.853959
0010VDS17956,398286.524339,355686.934718
0010VDS17957,398235.223328,355772.773638
0010VDS18540,398190.328986,355862.531168
0010VDS18551,398162.072355,355958.805318
0010VDS18552,398150.104869,356058.509502
0010VDS18553,398154.507001,356159.326772
0010VDS18554,398170.578265,356258.337677
0010VDS18555,398188.947561,356356.924114
0010VDS18556,398207.953683,356455.34912
0010VDS18700,398225.468393,356553.981834
0010VDS18800,398242.994027,356652.676063
0010VDS18900,398261.48327,356751.202772
0010VDS19000,398280.223554,356849.675163
0010VDS19100,398295.180088,356948.963643
0010VDS19200,398301.633341,357049.203218
0010VDS19400,398299.615864,357149.519526
0010VDS19700,398290.477102,357249.44901
0010VDS19800,398272.793072,357348.21471
0010VDS19900,398245.698841,357444.883543
0010VDS20000,398213.097015,357539.764537
0010VDS20100,398177.339204,357633.443798
0010VDS20110,398141.324885,357727.021192
0010VDS20203,398105.329526,357820.605868
0010VDS20300,398068.859995,357913.999882
0010VDS20400,398032.099141,358007.25347
0010VDS20500,397992.495909,358099.086619
0010VDS20600,397947.677908,358188.406649
0010VDS20750,397899.697497,358275.843266
0010VDS20780,397845.536812,358360.160211
0010VDS20800,397789.553253,358443.106257
0010VDS20900,397733.59624,358526.2656
0010VDS21000,397676.091818,358608.375066
0010VDS21100,397619.487648,358691.090038
0010VDS21200,397562.981049,358773.920301
0010VDS21210,397506.531583,358856.78923
0010VDS21310,397450.380113,358939.858174
0010VDS21350,397394.006288,359022.777452
0010VDS21400,397336.885886,359105.182687
0010VDS21500,397278.201125,359186.453515
0010VDS21600,397209.121296,359258.652059
0010VDS21610,397127.542987,359315.964864
0010VDS21620,397037.139435,359356.811283
0010VDS21700,396939.616287,359377.952891
0010VDS21800,396840.153971,359383.784027
0010VDS21900,396740.028437,359384.943994
0010VDS22000,396639.879155,359385.688127
