"일반국도","눈","11월",25,0,42,29,0,51,-,-,-,-,-,-,5,0,10
"일반국도","눈","12월",69,0,129,49,2,89,14,0,28,37,0,65,50,1,87
"일반국도","기타/불명","전체",102,5,163,114,4,185,133,5,194,183,8,274,174,5,284
"일반국도","기타/불명","1월",9,1,14,6,0,10,25,2,32,15,0,28,27,1,39
"일반국도","기타/불명","2월",9,0,10,15,0,31,12,1,13,16,1,31,9,0,17
"일반국도","기타/불명","3월",9,0,14,5,0,7,18,1,30,19,0,25,7,0,12
"일반국도","기타/불명","4월",4,0,5,5,0,12,9,0,14,26,0,31,18,0,30
"일반국도","기타/불명","5월",6,1,8,4,2,3,12,0,17,6,1,5,15,0,23
"일반국도","기타/불명","6월",4,0,5,9,0,16,3,0,3,6,0,7,5,0,12
"일반국도","기타/불명","7월",5,1,7,5,0,5,4,0,4,1,0,2,6,0,13
"일반국도","기타/불명","8월",7,0,9,7,0,11,5,0,8,18,2,24,17,2,26
"일반국도","기타/불명","9월",14,0,30,6,0,7,9,1,17,13,1,21,12,0,19
"일반국도","기타/불명","10월",15,0,32,12,0,18,11,0,16,19,1,30,19,0,30
"일반국도","기타/불명","11월",12,1,17,14,0,21,11,0,20,16,1,20,23,1,39
"일반국도","기타/불명","12월",8,1,12,26,2,44,14,0,20,28,1,50,16,1,24
"지방도","맑음","전체",14905,484,22859,13744,418,21609,14957,394,23630,12469,318,19204,12256,271,18591
"지방도","맑음","1월",1240,39,1879,988,35,1580,1153,34,1774,1099,37,1720,772,19,1113
"지방도","맑음","2월",1042,33,1630,960,23,1575,980,26,1590,903,21,1412,877,16,1378
"지방도","맑음","3월",1183,32,1754,1080,38,1640,1227,34,1941,948,31,1411,1012,23,1502
"지방도","맑음","4월",1252,30,1948,1106,26,1733,1289,37,2030,1013,15,1583,1050,29,1621
"지방도","맑음","5월",1321,40,2011,1129,31,1737,1391,29,2164,1081,32,1639,1019,18,1573
"지방도","맑음","6월",1257,45,1946,1228,34,1905,1281,37,2015,1109,25,1720,1044,18,1568
"지방도","맑음","7월",1179,38,1851,1253,43,1959,1163,24,1840,941,24,1494,1200,24,1834
"지방도","맑음","8월",1241,39,1971,1181,39,2010,1315,33,2158,965,23,1504,962,24,1451
"지방도","맑음","9월",1414,61,2158,1162,31,1912,1070,27,1707,1061,25,1625,1017,18,1548
"지방도","맑음","10월",1270,46,2035,1301,46,1999,1421,42,2302,1282,37,2010,1167,28,1816
"지방도","맑음","11월",1363,51,1961,1257,26,1919,1406,39,2207,1127,29,1715,1129,29,1673
"지방도","맑음","12월",1143,30,1715,1099,46,1640,1261,32,1902,940,19,1371,1007,25,1514
"지방도","흐림","전체",712,38,1160,662,35,1032,568,34,901,556,20,835,507,26,756
"지방도","흐림","1월",96,6,154,80,5,119,34,3,48,59,2,96,77,2,118
"지방도","흐림","2월",53,4,85,46,1,69,42,3,59,43,1,67,40,4,58
"지방도","흐림","3월",43,0,74,51,3,71,50,1,81,28,2,32,23,1,32
"지방도","흐림","4월",37,1,80,48,3,73,42,3,82,12,1,24,16,1,22
"지방도","흐림","5월",42,1,72,55,4,83,22,1,35,45,3,76,43,2,69
"지방도","흐림","6월",43,3,75,41,1,60,36,1,52,45,1,64,50,4,91
"지방도","흐림","7월",84,4,132,39,0,67,66,2,104,102,1,155,48,2,77
"지방도","흐림","8월",70,9,108,56,4,90,63,2,101,87,4,126,64,1,98
"지방도","흐림","9월",54,2,83,68,5,119,64,7,96,31,1,41,37,1,49
"지방도","흐림","10월",33,1,61,37,0,58,32,2,44,15,0,25,38,4,48
"지방도","흐림","11월",54,2,73,57,5,110,41,1,63,50,2,80,36,1,53
"지방도","흐림","12월",103,5,163,84,4,113,76,8,136,39,2,49,35,3,41
"지방도","비","전체",830,38,1373,1024,47,1642,1083,27,1666,1078,42,1631,911,30,1453
