"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"계양구","남자[명]","명","163077","160863","158179","152614","148434","145258",
"계양구","여자[명]","명","164234","162333","159925","154984","150478","147594",
"계양구","내국인-계[명]","명","323645","319456","314224","303392","294175","288215",
"계양구","내국인-남자[명]","명","161415","159185","156413","150709","146295","143290",
"계양구","내국인-여자[명]","명","162230","160271","157811","152683","147880","144925",
"계양구","외국인-계[명]","명","3666","3740","3880","4206","4737","4637",
"계양구","외국인-남자[명]","명","1662","1678","1766","1905","2139","1968",
"계양구","외국인-여자[명]","명","2004","2062","2114","2301","2598","2669",
"계양구","가구-계[가구]","가구","117591","117247","117201","115300","114163","114972",
"계양구","일반가구[가구]","가구","116403","116055","115976","114050","112858","113632",
"계양구","집단가구[가구]","가구","62","53","65","72","76","67",
"계양구","외국인가구[가구]","가구","1126","1139","1160","1178","1229","1273",
"계양구","주택-계[호]","호","107880","108431","108663","107446","106268","107004",
"계양구","단독주택[호]","호","4079","4109","4094","3940","3770","3628",
"계양구","아파트[호]","호","68277","68528","68650","67942","67831","68453",
"계양구","연립주택[호]","호","2108","2108","2149","1828","1730","1815",
"계양구","다세대주택[호]","호","32740","33013","33090","33060","32293","32456",
"계양구","비거주용 건물내 주택[호]","호","676","673","680","676","644","652",
"계양구","주택이외의 거처[호]","호","3557","3784","3782","3849","3924","4531",
"서구","총인구[명]","명","499540","506040","509776","532713","540655","541534",
"서구","남자[명]","명","254279","257518","259613","271338","275606","275253",
"서구","여자[명]","명","245261","248522","250163","261375","265049","266281",
"서구","내국인-계[명]","명","484764","491187","494399","516402","523012","524595",
"서구","내국인-남자[명]","명","244161","247447","249250","260292","263711","264212",
"서구","내국인-여자[명]","명","240603","243740","245149","256110","259301","260383",
"서구","외국인-계[명]","명","14776","14853","15377","16311","17643","16939",
"서구","외국인-남자[명]","명","10118","10071","10363","11046","11895","11041",
"서구","외국인-여자[명]","명","4658","4782","5014","5265","5748","5898",
"서구","가구-계[가구]","가구","175376","178831","182582","194339","200391","205791",
"서구","일반가구[가구]","가구","171503","174707","178307","189779","195663","200854",
"서구","집단가구[가구]","가구","97","90","113","126","130","109",
"서구","외국인가구[가구]","가구","3776","4034","4162","4434","4598","4828",
"서구","주택-계[호]","호","159559","161740","165819","178078","181040","182797",
"서구","단독주택[호]","호","8080","8416","8645","8715","8754","8883",
"서구","아파트[호]","호","103434","103579","106269","117547","120480","121370",
"서구","연립주택[호]","호","6973","8144","8743","9147","8738","9023",
"서구","다세대주택[호]","호","40043","40586","41172","41703","42088","42531",
"서구","비거주용 건물내 주택[호]","호","1029","1015","990","966","980","990",
"서구","주택이외의 거처[호]","호","4571","5668","6669","6858","9076","11628",
"미추홀구","총인구[명]","명","","","","415102","411612","405886",
"미추홀구","남자[명]","명","","","","209360","207840","204401",
"미추홀구","여자[명]","명","","","","205742","203772","201485",
"미추홀구","내국인-계[명]","명","","","","404443","399260","393389",
"미추홀구","내국인-남자[명]","명","","","","203951","201556","198206",
"미추홀구","내국인-여자[명]","명","","","","200492","197704","195183",
"미추홀구","외국인-계[명]","명","","","","10659","12352","12497",
"미추홀구","외국인-남자[명]","명","","","","5409","6284","6195",
"미추홀구","외국인-여자[명]","명","","","","5250","6068","6302",
"미추홀구","가구-계[가구]","가구","","","","166596","170328","173122",
"미추홀구","일반가구[가구]","가구","","","","162813","166240","168908",
"미추홀구","집단가구[가구]","가구","","","","131","158","151",
"미추홀구","외국인가구[가구]","가구","","","","3652","3930","4063",
"미추홀구","주택-계[호]","호","","","","144504","145705","146766",
"미추홀구","단독주택[호]","호","","","","21817","20018","19200",
"미추홀구","아파트[호]","호","","","","65638","68200","68773",
"미추홀구","연립주택[호]","호","","","","3756","3944","4547",
"미추홀구","다세대주택[호]","호","","","","51406","50805","51577",
"미추홀구","비거주용 건물내 주택[호]","호","","","","1887","2738","2669",
"미추홀구","주택이외의 거처[호]","호","","","","12515","14195","16829",
"강화군","총인구[명]","명","62291","62741","63737","64432","65235","66020",
"강화군","남자[명]","명","31298","31592","32025","32378","32781","33116",
"강화군","여자[명]","명","30993","31149","31712","32054","32454","32904",
"강화군","내국인-계[명]","명","61354","61758","62753","63322","64004","64866",
"강화군","내국인-남자[명]","명","30724","30983","31416","31674","31985","32389",
"강화군","내국인-여자[명]","명","30630","30775","31337","31648","32019","32477",
"강화군","외국인-계[명]","명","937","983","984","1110","1231","1154",
"강화군","외국인-남자[명]","명","574","609","609","704","796","727",
"강화군","외국인-여자[명]","명","363","374","375","406","435","427",
"강화군","가구-계[가구]","가구","25426","25775","26402","27045","27377","28145",
"강화군","일반가구[가구]","가구","25133","25477","26103","26728","27048","27827",
"강화군","집단가구[가구]","가구","67","57","61","65","65","69",
"강화군","외국인가구[가구]","가구","226","241","238","252","264","249",
"강화군","주택-계[호]","호","26609","26660","27350","27991","28714","29323",
"강화군","단독주택[호]","호","19269","19268","19859","20335","20830","21295",
"강화군","아파트[호]","호","2344","2344","2344","2344","2347","2344",
"강화군","연립주택[호]","호","960","991","1011","1017","1031","1055",
"강화군","다세대주택[호]","호","3474","3520","3577","3731","3932","4030",
"강화군","비거주용 건물내 주택[호]","호","562","537","559","564","574","599",
"강화군","주택이외의 거처[호]","호","973","1083","1155","1252","1300","1359",
"옹진군","총인구[명]","명","18642","18905","19294","19207","19040","19292",
"옹진군","남자[명]","명","10627","10827","11004","10983","10926","11073",
"옹진군","여자[명]","명","8015","8078","8290","8224","8114","8219",
"옹진군","내국인-계[명]","명","18416","18687","19082","18938","18706","18991",
"옹진군","내국인-남자[명]","명","10476","10675","10855","10796","10687","10867",
"옹진군","내국인-여자[명]","명","7940","8012","8227","8142","8019","8124",
"옹진군","외국인-계[명]","명","226","218","212","269","334","301",
"옹진군","외국인-남자[명]","명","151","152","149","187","239","206",
"옹진군","외국인-여자[명]","명","75","66","63","82","95","95",
"옹진군","가구-계[가구]","가구","9115","9160","9450","9255","8981","8867",
"옹진군","일반가구[가구]","가구","9005","9059","9347","9149","8862","8750",
"옹진군","집단가구[가구]","가구","14","14","12","12","7","7",
"옹진군","외국인가구[가구]","가구","96","87","91","94","112","110",
"옹진군","주택-계[호]","호","6731","7691","7367","7953","8140","8292",
"옹진군","단독주택[호]","호","5388","5833","5876","5968","5995","6032",
"옹진군","아파트[호]","호","281","720","281","647","737","642",
"옹진군","연립주택[호]","호","327","327","327","328","347","566",
"옹진군","다세대주택[호]","호","563","627","680","799","851","835",
"옹진군","비거주용 건물내 주택[호]","호","172","184","203","211","210","217",
"옹진군","주택이외의 거처[호]","호","319","324","338","344","411","345",
"광주광역시","총인구[명]","명","1502881","1501557","1496172","1490092","1489730","1477573",
"광주광역시","남자[명]","명","748867","747303","745122","741728","741287","734140",
"광주광역시","여자[명]","명","754014","754254","751050","748364","748443","743433",
"광주광역시","내국인-계[명]","명","1481289","1477856","1470120","1460259","1456444","1447000",
"광주광역시","내국인-남자[명]","명","736656","734092","730590","725127","722939","717832",
"광주광역시","내국인-여자[명]","명","744633","743764","739530","735132","733505","729168",
"광주광역시","외국인-계[명]","명","21592","23701","26052","29833","33286","30573",
"광주광역시","외국인-남자[명]","명","12211","13211","14532","16601","18348","16308",
