"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"전국","총인구[명]","명","51069375","51269554","51422507","51629512","51779203","51829136",
"전국","남자[명]","명","25608502","25696987","25768055","25877195","25952070","25915207",
"전국","여자[명]","명","25460873","25572567","25654452","25752317","25827133","25913929",
"전국","내국인-계[명]","명","49705663","49855796","49943260","49977951","50000285","50133493",
"전국","내국인-남자[명]","명","24819839","24881520","24922392","24931554","24934662","24972588",
"전국","내국인-여자[명]","명","24885824","24974276","25020868","25046397","25065623","25160905",
"전국","외국인-계[명]","명","1363712","1413758","1479247","1651561","1778918","1695643",
"전국","외국인-남자[명]","명","788663","815467","845663","945641","1017408","942619",
"전국","외국인-여자[명]","명","575049","598291","633584","705920","761510","753024",
"전국","가구-계[가구]","가구","19560603","19837665","20167922","20499543","20891348","21484785",
"전국","일반가구[가구]","가구","19111030","19367696","19673875","19979188","20343188","20926710",
"전국","집단가구[가구]","가구","16464","12968","15949","17209","16729","16388",
"전국","외국인가구[가구]","가구","433109","457001","478098","503146","531431","541687",
"전국","주택-계[호]","호","16367006","16692230","17122573","17633327","18126954","18525844",
"전국","단독주택[호]","호","3973961","3967776","3963072","3948984","3917683","3897729",
"전국","아파트[호]","호","9806062","10029644","10375363","10826044","11287048","11661851",
"전국","연립주택[호]","호","485349","492469","502514","508664","514337","521606",
"전국","다세대주택[호]","호","1898090","2000783","2072905","2139885","2194943","2230787",
"전국","비거주용 건물내 주택[호]","호","203544","201558","208719","209750","212943","213871",
"전국","주택이외의 거처[호]","호","607195","691672","773847","824686","896930","1000903",
"읍부","총인구[명]","명","4616802","4707855","4794377","4984023","5057507","5113052",
"읍부","남자[명]","명","2360708","2410964","2456558","2557807","2599416","2624351",
"읍부","여자[명]","명","2256094","2296891","2337819","2426216","2458091","2488701",
"읍부","내국인-계[명]","명","4467697","4548051","4625994","4787535","4839016","4904647",
"읍부","내국인-남자[명]","명","2262853","2305977","2347613","2431315","2459087","2494271",
"읍부","내국인-여자[명]","명","2204844","2242074","2278381","2356220","2379929","2410376",
"읍부","외국인-계[명]","명","149105","159804","168383","196488","218491","208405",
"읍부","외국인-남자[명]","명","97855","104987","108945","126492","140329","130080",
"읍부","외국인-여자[명]","명","51250","54817","59438","69996","78162","78325",
"읍부","가구-계[가구]","가구","1737415","1792689","1846901","1942637","1993797","2080384",
"읍부","일반가구[가구]","가구","1695508","1746762","1798810","1890366","1937519","2021664",
"읍부","집단가구[가구]","가구","2189","1846","2277","2505","2451","2353",
"읍부","외국인가구[가구]","가구","39718","44081","45814","49766","53827","56367",
"읍부","주택-계[호]","호","1614808","1673803","1749920","1862018","1935259","1992568",
"읍부","단독주택[호]","호","544351","551606","560283","572652","574704","579820",
"읍부","아파트[호]","호","864404","903764","959130","1040205","1098180","1142894",
"읍부","연립주택[호]","호","66387","68597","71398","74587","78176","79981",
"읍부","다세대주택[호]","호","112764","123194","131130","145491","154284","159041",
"읍부","비거주용 건물내 주택[호]","호","26902","26642","27979","29083","29915","30832",
"읍부","주택이외의 거처[호]","호","49554","58323","62526","67246","69227","74804",
"면부","총인구[명]","명","4774878","4793569","4835090","4730290","4698591","4650781",
"면부","남자[명]","명","2455898","2472341","2498157","2453691","2447379","2420392",
"면부","여자[명]","명","2318980","2321228","2336933","2276599","2251212","2230389",
"면부","내국인-계[명]","명","4546520","4556905","4592308","4464067","4415652","4394145",
"면부","내국인-남자[명]","명","2291860","2301931","2324414","2263139","2244382","2237761",
"면부","내국인-여자[명]","명","2254660","2254974","2267894","2200928","2171270","2156384",
"면부","외국인-계[명]","명","228358","236664","242782","266223","282939","256636",
"면부","외국인-남자[명]","명","164038","170410","173743","190552","202997","182631",
"면부","외국인-여자[명]","명","64320","66254","69039","75671","79942","74005",
"면부","가구-계[가구]","가구","1981033","2016031","2052573","2030579","2028614","2068878",
"면부","일반가구[가구]","가구","1927621","1958876","1993849","1971564","1968717","2008345",
"면부","집단가구[가구]","가구","4284","3298","4055","4177","4080","4237",
"면부","외국인가구[가구]","가구","49128","53857","54669","54838","55817","56296",
"면부","주택-계[호]","호","1982064","2012868","2064742","2066655","2085214","2105345",
"면부","단독주택[호]","호","1524970","1525378","1538966","1536624","1536714","1539804",
"면부","아파트[호]","호","334810","359250","389938","396594","412546","427449",
"면부","연립주택[호]","호","31485","32994","34592","34705","35780","36565",
"면부","다세대주택[호]","호","61366","65807","70152","68087","69051","69672",
"면부","비거주용 건물내 주택[호]","호","29433","29439","31094","30645","31123","31855",
"면부","주택이외의 거처[호]","호","78036","91210","96877","99218","100447","103889",
"동부","총인구[명]","명","41677695","41768130","41793040","41915199","42023105","42065303",
"동부","남자[명]","명","20791896","20813682","20813340","20865697","20905275","20870464",
"동부","여자[명]","명","20885799","20954448","20979700","21049502","21117830","21194839",
"동부","내국인-계[명]","명","40691446","40750840","40724958","40726349","40745617","40834701",
"동부","내국인-남자[명]","명","20265126","20273612","20250365","20237100","20231193","20240556",
"동부","내국인-여자[명]","명","20426320","20477228","20474593","20489249","20514424","20594145",
"동부","외국인-계[명]","명","986249","1017290","1068082","1188850","1277488","1230602",
"동부","외국인-남자[명]","명","526770","540070","562975","628597","674082","629908",
"동부","외국인-여자[명]","명","459479","477220","505107","560253","603406","600694",
"동부","가구-계[가구]","가구","15842155","16028945","16268448","16526327","16868937","17335523",
"동부","일반가구[가구]","가구","15487901","15662058","15881216","16117258","16436952","16896701",
"동부","집단가구[가구]","가구","9991","7824","9617","10527","10198","9798",
"동부","외국인가구[가구]","가구","344263","359063","377615","398542","421787","429024",
"동부","주택-계[호]","호","12770134","13005559","13307911","13704654","14106481","14427931",
"동부","단독주택[호]","호","1904640","1890792","1863823","1839708","1806265","1778105",
"동부","아파트[호]","호","8606848","8766630","9026295","9389245","9776322","10091508",
"동부","연립주택[호]","호","387477","390878","396524","399372","400381","405060",
"동부","다세대주택[호]","호","1723960","1811782","1871623","1926307","1971608","2002074",
"동부","비거주용 건물내 주택[호]","호","147209","145477","149646","150022","151905","151184",
"동부","주택이외의 거처[호]","호","479605","542139","614444","658222","727256","822210",
"서울특별시","총인구[명]","명","9904312","9805506","9741871","9673936","9639541","9586195",
"서울특별시","남자[명]","명","4859535","4799115","4757642","4718972","4690440","4647733",
"서울특별시","여자[명]","명","5044777","5006391","4984229","4954964","4949101","4938462",
"서울특별시","내국인-계[명]","명","9567196","9470339","9397944","9299511","9249364","9219741",
"서울특별시","내국인-남자[명]","명","4694317","4636374","4592393","4536552","4500878","4474343",
"서울특별시","내국인-여자[명]","명","4872879","4833965","4805551","4762959","4748486","4745398",
"서울특별시","외국인-계[명]","명","337116","335167","343927","374425","390177","366454",
"서울특별시","외국인-남자[명]","명","165218","162741","165249","182420","189562","173390",
"서울특별시","외국인-여자[명]","명","171898","172426","178678","192005","200615","193064",
"서울특별시","가구-계[가구]","가구","3914820","3915023","3948850","3981741","4043957","4126524",
"서울특별시","일반가구[가구]","가구","3784490","3784705","3813260","3839766","3896389","3982290",
"서울특별시","집단가구[가구]","가구","2261","1817","2246","2563","2328","2264",
"서울특별시","외국인가구[가구]","가구","128069","128501","133344","139412","145240","141970",
"서울특별시","주택-계[호]","호","2793244","2830857","2866845","2894078","2953964","3015371",
"서울특별시","단독주택[호]","호","355039","345269","331863","322453","315566","307075",
"서울특별시","아파트[호]","호","1636896","1641383","1665922","1679639","1720691","1772670",
"서울특별시","연립주택[호]","호","117235","116106","114352","112372","110968","110562",
"서울특별시","다세대주택[호]","호","654372","699446","724932","749971","777205","796066",
"서울특별시","비거주용 건물내 주택[호]","호","29702","28653","29776","29643","29534","28998",
"서울특별시","주택이외의 거처[호]","호","150951","166859","194627","208223","224878","248125",
"종로구","총인구[명]","명","161521","154398","157277","157967","154969","151291",
"종로구","남자[명]","명","79510","75620","76670","77147","74880","73062",
"종로구","여자[명]","명","82011","78778","80607","80820","80089","78229",
"종로구","내국인-계[명]","명","146119","144049","146298","145911","141810","139718",
"종로구","내국인-남자[명]","명","71951","70844","71757","71611","69062","67919",
"종로구","내국인-여자[명]","명","74168","73205","74541","74300","72748","71799",
"종로구","외국인-계[명]","명","15402","10349","10979","12056","13159","11573",
"종로구","외국인-남자[명]","명","7559","4776","4913","5536","5818","5143",
"종로구","외국인-여자[명]","명","7843","5573","6066","6520","7341","6430",
"종로구","가구-계[가구]","가구","68429","65022","66711","68180","67650","68069",
"종로구","일반가구[가구]","가구","61580","60786","62372","63773","62652","63414",
"종로구","집단가구[가구]","가구","106","110","124","123","113","115",
"종로구","외국인가구[가구]","가구","6743","4126","4215","4284","4885","4540",
"종로구","주택-계[호]","호","43550","43554","45787","45729","46440","46859",
"종로구","단독주택[호]","호","13103","12991","12920","12699","12421","12259",
"종로구","아파트[호]","호","12552","12462","14507","14530","15290","15688",
"종로구","연립주택[호]","호","5395","5410","5451","5428","5459","5460",
"종로구","다세대주택[호]","호","11664","11872","11978","12140","12349","12540",
"종로구","비거주용 건물내 주택[호]","호","836","819","931","932","921","912",
"종로구","주택이외의 거처[호]","호","4226","4488","4859","4975","5084","5663",
"중구","총인구[명]","명","128478","128160","127896","129797","130957","128744",
"중구","남자[명]","명","63218","62514","62195","62975","63406","62147",
"중구","여자[명]","명","65260","65646","65701","66822","67551","66597",
"중구","내국인-계[명]","명","118021","117960","117631","117809","118398","117252",
"중구","내국인-남자[명]","명","58223","57677","57391","57240","57381","56725",
"중구","내국인-여자[명]","명","59798","60283","60240","60569","61017","60527",
"중구","외국인-계[명]","명","10457","10200","10265","11988","12559","11492",
"중구","외국인-남자[명]","명","4995","4837","4804","5735","6025","5422",
"중구","외국인-여자[명]","명","5462","5363","5461","6253","6534","6070",
"중구","가구-계[가구]","가구","55508","55554","56239","57318","59440","59817",
"중구","일반가구[가구]","가구","51205","51503","52208","53102","54496","55093",
"중구","집단가구[가구]","가구","64","78","89","105","98","96",
"중구","외국인가구[가구]","가구","4239","3973","3942","4111","4846","4628",
"중구","주택-계[호]","호","37478","38311","39512","40177","41754","42234",
"중구","단독주택[호]","호","6436","6364","6308","6209","6035","5967",
"중구","아파트[호]","호","22186","22923","23874","24417","25823","26102",
"중구","연립주택[호]","호","1975","1955","1948","1944","1940","1944",
"중구","다세대주택[호]","호","6148","6333","6491","6719","7095","7352",
"중구","비거주용 건물내 주택[호]","호","733","736","891","888","861","869",
"중구","주택이외의 거처[호]","호","3549","4220","4773","4958","5286","5695",
"용산구","총인구[명]","명","227282","224993","223898","226938","227181","225882",
"용산구","남자[명]","명","109980","108520","108471","110685","110934","109162",
"용산구","여자[명]","명","117302","116473","115427","116253","116247","116720",
"용산구","내국인-계[명]","명","212189","209710","207893","207812","206678","208602",
"용산구","내국인-남자[명]","명","102154","100642","99759","99806","99313","99866",
"용산구","내국인-여자[명]","명","110035","109068","108134","108006","107365","108736",
"용산구","외국인-계[명]","명","15093","15283","16005","19126","20503","17280",
"용산구","외국인-남자[명]","명","7826","7878","8712","10879","11621","9296",
"용산구","외국인-여자[명]","명","7267","7405","7293","8247","8882","7984",
"용산구","가구-계[가구]","가구","96385","96097","96975","98580","99777","101431",
"용산구","일반가구[가구]","가구","90313","90164","91102","92500","93177","95714",
"용산구","집단가구[가구]","가구","68","65","85","95","80","89",
"용산구","외국인가구[가구]","가구","6004","5868","5788","5985","6520","5628",
"용산구","주택-계[호]","호","70723","70868","71356","71680","72463","74542",
"용산구","단독주택[호]","호","15503","15302","14993","14792","14487","14064",
"용산구","아파트[호]","호","35343","35310","35648","35728","36181","37676",
"용산구","연립주택[호]","호","4029","3974","3985","3996","3959","3969",
"용산구","다세대주택[호]","호","15206","15653","15988","16416","17107","18124",
"용산구","비거주용 건물내 주택[호]","호","642","629","742","748","729","709",
"용산구","주택이외의 거처[호]","호","4036","4321","4790","5518","6151","6611",
"성동구","총인구[명]","명","295006","294744","302367","306796","299688","291918",
"성동구","남자[명]","명","146332","145935","149060","150623","146630","142128",
"성동구","여자[명]","명","148674","148809","153307","156173","153058","149790",
"성동구","내국인-계[명]","명","285137","284735","291931","295489","287914","281266",
"성동구","내국인-남자[명]","명","141429","141022","144018","145220","141020","137301",
"성동구","내국인-여자[명]","명","143708","143713","147913","150269","146894","143965",
"성동구","외국인-계[명]","명","9869","10009","10436","11307","11774","10652",
"성동구","외국인-남자[명]","명","4903","4913","5042","5403","5610","4827",
"성동구","외국인-여자[명]","명","4966","5096","5394","5904","6164","5825",
"성동구","가구-계[가구]","가구","118900","120625","125421","128602","127557","126658",
"성동구","일반가구[가구]","가구","114719","116401","120957","123963","122770","122186",
"성동구","집단가구[가구]","가구","75","55","75","78","79","69",
"성동구","외국인가구[가구]","가구","4106","4169","4389","4561","4708","4403",
"성동구","주택-계[호]","호","82331","80977","86650","87830","91037","91329",
"성동구","단독주택[호]","호","11250","11155","11044","10944","10782","10525",
"성동구","아파트[호]","호","59331","57548","62985","63976","67058","67584",
"성동구","연립주택[호]","호","2076","2063","2055","2032","2021","1990",
"성동구","다세대주택[호]","호","8610","9172","9470","9785","10095","10158",
"성동구","비거주용 건물내 주택[호]","호","1064","1039","1096","1093","1081","1072",
"성동구","주택이외의 거처[호]","호","4507","5118","5432","5705","5851","6092",
"광진구","총인구[명]","명","368199","363979","363934","362304","359766","353967",
"광진구","남자[명]","명","180647","177858","177156","175762","174027","169925",
"광진구","여자[명]","명","187552","186121","186778","186542","185739","184042",
"광진구","내국인-계[명]","명","350993","346476","345535","342575","338841","333985",
"광진구","내국인-남자[명]","명","172622","169766","168833","166730","164553","161130",
"광진구","내국인-여자[명]","명","178371","176710","176702","175845","174288","172855",
"광진구","외국인-계[명]","명","17206","17503","18399","19729","20925","19982",
"광진구","외국인-남자[명]","명","8025","8092","8323","9032","9474","8795",
"광진구","외국인-여자[명]","명","9181","9411","10076","10697","11451","11187",
"광진구","가구-계[가구]","가구","155242","153844","155878","156764","158673","160944",
"광진구","일반가구[가구]","가구","147718","146196","147846","148735","149905","152090",
"광진구","집단가구[가구]","가구","84","77","90","87","87","78",
"광진구","외국인가구[가구]","가구","7440","7571","7942","7942","8681","8776",
"광진구","주택-계[호]","호","79393","82691","84316","85638","89132","89832",
"광진구","단독주택[호]","호","17034","16566","16297","16002","15786","15332",
"광진구","아파트[호]","호","29880","30401","30301","30425","32089","32135",
"광진구","연립주택[호]","호","4434","4293","4249","4152","4068","4054",
"광진구","다세대주택[호]","호","26561","30003","31970","33565","35697","36858",
"광진구","비거주용 건물내 주택[호]","호","1484","1428","1499","1494","1492","1453",
"광진구","주택이외의 거처[호]","호","4721","4933","6121","6580","6931","8065",
"동대문구","총인구[명]","명","364787","359935","357380","358141","355094","351057",
"동대문구","남자[명]","명","181189","178285","176460","176323","174161","171484",
"동대문구","여자[명]","명","183598","181650","180920","181818","180933","179573",
"동대문구","내국인-계[명]","명","349957","343744","339438","338293","334045","331833",
"동대문구","내국인-남자[명]","명","174710","171397","168977","167999","165309","163507",
"동대문구","내국인-여자[명]","명","175247","172347","170461","170294","168736","168326",
"동대문구","외국인-계[명]","명","14830","16191","17942","19848","21049","19224",
"동대문구","외국인-남자[명]","명","6479","6888","7483","8324","8852","7977",
"동대문구","외국인-여자[명]","명","8351","9303","10459","11524","12197","11247",
"동대문구","가구-계[가구]","가구","153362","152538","153187","155542","157662","158899",
"동대문구","일반가구[가구]","가구","146677","145179","145294","146974","148349","150373",
"동대문구","집단가구[가구]","가구","134","103","134","158","126","131",
"동대문구","외국인가구[가구]","가구","6551","7256","7759","8410","9187","8395",
"동대문구","주택-계[호]","호","98203","96464","97891","100802","104821","103520",
"동대문구","단독주택[호]","호","20799","20325","19954","19484","18990","17120",
"동대문구","아파트[호]","호","59534","57350","58161","60386","64081","65033",
"동대문구","연립주택[호]","호","3740","3411","3251","3181","3280","3274",
"동대문구","다세대주택[호]","호","12529","13770","14866","16093","16834","16511",
"동대문구","비거주용 건물내 주택[호]","호","1601","1608","1659","1658","1636","1582",
"동대문구","주택이외의 거처[호]","호","6802","7575","8293","8192","8791","11084",
"중랑구","총인구[명]","명","403237","399317","396892","391668","386331","385663",
"중랑구","남자[명]","명","199936","197875","196346","193599","190531","189537",
"중랑구","여자[명]","명","203301","201442","200546","198069","195800","196126",
"중랑구","내국인-계[명]","명","397487","393547","390879","385082","379240","378258",
"중랑구","내국인-남자[명]","명","197499","195451","193871","190871","187569","186593",
"중랑구","내국인-여자[명]","명","199988","198096","197008","194211","191671","191665",
"중랑구","외국인-계[명]","명","5750","5770","6013","6586","7091","7405",
"중랑구","외국인-남자[명]","명","2437","2424","2475","2728","2962","2944",
"중랑구","외국인-여자[명]","명","3313","3346","3538","3858","4129","4461",
"중랑구","가구-계[가구]","가구","160043","159920","161432","162039","163422","167617",
"중랑구","일반가구[가구]","가구","157537","157571","159035","159444","160776","164832",
"중랑구","집단가구[가구]","가구","68","43","62","59","54","49",
"중랑구","외국인가구[가구]","가구","2438","2306","2335","2536","2592","2736",
"중랑구","주택-계[호]","호","99265","102387","103740","105691","107997","112364",
"중랑구","단독주택[호]","호","21155","20430","19669","19208","18891","18560",
"중랑구","아파트[호]","호","50078","50343","51031","51475","52162","55499",
"중랑구","연립주택[호]","호","4943","4850","4578","4451","4440","4466",
"중랑구","다세대주택[호]","호","21543","25272","26949","29040","30958","32303",
"중랑구","비거주용 건물내 주택[호]","호","1546","1492","1513","1517","1546","1536",
"중랑구","주택이외의 거처[호]","호","2564","2888","3327","3513","3882","4471",
"성북구","총인구[명]","명","456844","451800","445417","438734","445327","438833",
"성북구","남자[명]","명","221861","218606","215068","211204","213832","209682",
"성북구","여자[명]","명","234983","233194","230349","227530","231495","229151",
"성북구","내국인-계[명]","명","445710","439623","432226","424211","429775","425295",
"성북구","내국인-남자[명]","명","216872","213250","209374","205031","207211","204207",
"성북구","내국인-여자[명]","명","228838","226373","222852","219180","222564","221088",
"성북구","외국인-계[명]","명","11134","12177","13191","14523","15552","13538",
"성북구","외국인-남자[명]","명","4989","5356","5694","6173","6621","5475",
"성북구","외국인-여자[명]","명","6145","6821","7497","8350","8931","8063",
"성북구","가구-계[가구]","가구","178717","179278","178276","177489","182594","184871",
"성북구","일반가구[가구]","가구","174257","174370","172973","171943","176729","179660",
"성북구","집단가구[가구]","가구","168","153","183","183","162","192",
"성북구","외국인가구[가구]","가구","4292","4755","5120","5363","5703","5019",
"성북구","주택-계[호]","호","128046","128502","130766","129994","136437","138621",
"성북구","단독주택[호]","호","27180","25928","25457","24207","23156","22520",
"성북구","아파트[호]","호","69725","69981","71571","71754","77457","79206",
"성북구","연립주택[호]","호","6518","6376","6321","6097","6044","6262",
"성북구","다세대주택[호]","호","23097","24748","25902","26446","28315","29213",
"성북구","비거주용 건물내 주택[호]","호","1526","1469","1515","1490","1465","1420",
"성북구","주택이외의 거처[호]","호","2965","3159","3385","3378","3474","3730",
"강북구","총인구[명]","명","319992","316212","313698","309138","303871","299535",
"강북구","남자[명]","명","156386","154407","152464","150028","147112","144779",
"강북구","여자[명]","명","163606","161805","161234","159110","156759","154756",
"강북구","내국인-계[명]","명","315754","311917","309255","304191","298525","294351",
"강북구","내국인-남자[명]","명","154667","152689","150745","148057","145024","142837",
"강북구","내국인-여자[명]","명","161087","159228","158510","156134","153501","151514",
"강북구","외국인-계[명]","명","4238","4295","4443","4947","5346","5184",
"강북구","외국인-남자[명]","명","1719","1718","1719","1971","2088","1942",
"강북구","외국인-여자[명]","명","2519","2577","2724","2976","3258","3242",
"강북구","가구-계[가구]","가구","127462","127371","129204","129610","130161","131884",
"강북구","일반가구[가구]","가구","125666","125580","127281","127551","128012","129805",
"강북구","집단가구[가구]","가구","82","59","68","98","72","72",
"강북구","외국인가구[가구]","가구","1714","1732","1855","1961","2077","2007",
"강북구","주택-계[호]","호","91806","93623","94526","95097","97070","97452",
"강북구","단독주택[호]","호","19393","18870","18369","18185","18017","17557",
"강북구","아파트[호]","호","32651","32652","33458","33282","34590","34733",
"강북구","연립주택[호]","호","4854","4915","4882","4881","4748","4789",
"강북구","다세대주택[호]","호","33820","36136","36743","37671","38645","39331",
"강북구","비거주용 건물내 주택[호]","호","1088","1050","1074","1078","1070","1042",
"강북구","주택이외의 거처[호]","호","2025","2052","2220","2322","2348","2539",
"도봉구","총인구[명]","명","340095","336745","332586","328243","323543","315979",
"도봉구","남자[명]","명","166187","164407","161944","159569","156961","153080",
"도봉구","여자[명]","명","173908","172338","170642","168674","166582","162899",
"도봉구","내국인-계[명]","명","337541","334165","329957","325292","320223","312852",
"도봉구","내국인-남자[명]","명","165130","163364","160885","158370","155581","151906",
"도봉구","내국인-여자[명]","명","172411","170801","169072","166922","164642","160946",
"도봉구","외국인-계[명]","명","2554","2580","2629","2951","3320","3127",
"도봉구","외국인-남자[명]","명","1057","1043","1059","1199","1380","1174",
"도봉구","외국인-여자[명]","명","1497","1537","1570","1752","1940","1953",
"도봉구","가구-계[가구]","가구","125952","126297","126940","127249","127843","128378",
"도봉구","일반가구[가구]","가구","124981","125384","125974","126286","126831","127362",
"도봉구","집단가구[가구]","가구","64","37","60","76","58","49",
"도봉구","외국인가구[가구]","가구","907","876","906","887","954","967",
"도봉구","주택-계[호]","호","102443","104170","104752","105526","106641","107156",
"도봉구","단독주택[호]","호","9404","9237","9014","8903","8835","8634",
"도봉구","아파트[호]","호","64082","64269","64352","64580","64955","65032",
"도봉구","연립주택[호]","호","4242","4354","4235","4176","4131","4144",
"도봉구","다세대주택[호]","호","24014","25607","26422","27138","27986","28620",
"도봉구","비거주용 건물내 주택[호]","호","701","703","729","729","734","726",
"도봉구","주택이외의 거처[호]","호","2680","2774","3593","3625","3915","4127",
"노원구","총인구[명]","명","562996","555420","543499","534096","522480","511982",
"노원구","남자[명]","명","274128","270058","263655","258737","252662","246317",
"노원구","여자[명]","명","288868","285362","279844","275359","269818","265665",
"노원구","내국인-계[명]","명","558270","550729","538768","528268","516201","506237",
"노원구","내국인-남자[명]","명","271933","267903","261563","256124","249784","243759",
"노원구","내국인-여자[명]","명","286337","282826","277205","272144","266417","262478",
"노원구","외국인-계[명]","명","4726","4691","4731","5828","6279","5745",
"노원구","외국인-남자[명]","명","2195","2155","2092","2613","2878","2558",
"노원구","외국인-여자[명]","명","2531","2536","2639","3215","3401","3187",
"노원구","가구-계[가구]","가구","206092","205793","204188","203647","202930","204210",
"노원구","일반가구[가구]","가구","204836","204606","202955","202326","201458","202695",
"노원구","집단가구[가구]","가구","94","87","124","111","103","86",
"노원구","외국인가구[가구]","가구","1162","1100","1109","1210","1369","1429",
"노원구","주택-계[호]","호","186626","189013","187025","186533","187376","189213",
"노원구","단독주택[호]","호","8143","7990","7081","6783","6680","6619",
"노원구","아파트[호]","호","160725","162895","161701","161273","161873","163502",
"노원구","연립주택[호]","호","3536","3541","3508","3467","3440","3448",
"노원구","다세대주택[호]","호","13471","13887","14025","14312","14684","14948",
"노원구","비거주용 건물내 주택[호]","호","751","700","710","698","699","696",
"노원구","주택이외의 거처[호]","호","2975","3100","3271","3339","3237","3261",
"은평구","총인구[명]","명","478374","472242","466243","462552","461530","463102",
"은평구","남자[명]","명","232709","229215","225813","223452","222076","221828",
"은평구","여자[명]","명","245665","243027","240430","239100","239454","241274",
"은평구","내국인-계[명]","명","472775","466813","460651","456582","455140","456902",
"은평구","내국인-남자[명]","명","230226","226844","223388","220818","219283","219268",
"은평구","내국인-여자[명]","명","242549","239969","237263","235764","235857","237634",
"은평구","외국인-계[명]","명","5599","5429","5592","5970","6390","6200",
"은평구","외국인-남자[명]","명","2483","2371","2425","2634","2793","2560",
"은평구","외국인-여자[명]","명","3116","3058","3167","3336","3597","3640",
"은평구","가구-계[가구]","가구","181725","180698","181588","183289","186841","192581",
"은평구","일반가구[가구]","가구","179752","178775","179641","181338","184890","190631",
"은평구","집단가구[가구]","가구","84","57","73","84","82","77",
"은평구","외국인가구[가구]","가구","1889","1866","1874","1867","1869","1873",
"은평구","주택-계[호]","호","140330","142135","143727","144611","148557","150658",
"은평구","단독주택[호]","호","18582","17678","16416","16000","15146","14937",
"은평구","아파트[호]","호","50419","50677","52000","52607","57712","59438",
"은평구","연립주택[호]","호","6886","6696","6595","6297","5914","5830",
"은평구","다세대주택[호]","호","63059","65756","67371","68390","68514","69210",
"은평구","비거주용 건물내 주택[호]","호","1384","1328","1345","1317","1271","1243",
"은평구","주택이외의 거처[호]","호","6021","6075","7377","8225","9057","9905",
"서대문구","총인구[명]","명","308768","320258","321345","318874","319394","317209",
"서대문구","남자[명]","명","147956","151756","151132","149438","149113","148696",
"서대문구","여자[명]","명","160812","168502","170213","169436","170281","168513",
"서대문구","내국인-계[명]","명","297761","308419","308193","304508","303075","302902",
"서대문구","내국인-남자[명]","명","143596","147301","146320","144208","143082","143329",
"서대문구","내국인-여자[명]","명","154165","161118","161873","160300","159993","159573",
"서대문구","외국인-계[명]","명","11007","11839","13152","14366","16319","14307",
"서대문구","외국인-남자[명]","명","4360","4455","4812","5230","6031","5367",
"서대문구","외국인-여자[명]","명","6647","7384","8340","9136","10288","8940",
"서대문구","가구-계[가구]","가구","125149","130954","131721","132305","134437","138528",
"서대문구","일반가구[가구]","가구","121034","126581","126672","127197","128635","133112",
"서대문구","집단가구[가구]","가구","104","94","105","111","105","99",
"서대문구","외국인가구[가구]","가구","4011","4279","4944","4997","5697","5317",
"서대문구","주택-계[호]","호","92885","92788","94398","94884","97616","101036",
"서대문구","단독주택[호]","호","15568","14981","13939","13378","12958","12600",
"서대문구","아파트[호]","호","45340","44866","47445","48277","50747","54132",
"서대문구","연립주택[호]","호","5762","5727","5630","5486","5477","5461",
"서대문구","다세대주택[호]","호","25250","26294","26418","26783","27489","27910",
"서대문구","비거주용 건물내 주택[호]","호","965","920","966","960","945","933",
"서대문구","주택이외의 거처[호]","호","4240","4288","4980","5196","5464","6083",
"마포구","총인구[명]","명","381330","375142","368841","368181","369327","365612",
"마포구","남자[명]","명","182657","179193","175326","174194","173893","171161",
"마포구","여자[명]","명","198673","195949","193515","193987","195434","194451",
"마포구","내국인-계[명]","명","369875","363741","356881","355405","355020","352890",
"마포구","내국인-남자[명]","명","177608","174215","170311","168819","167814","165953",
"마포구","내국인-여자[명]","명","192267","189526","186570","186586","187206","186937",
"마포구","외국인-계[명]","명","11455","11401","11960","12776","14307","12722",
"마포구","외국인-남자[명]","명","5049","4978","5015","5375","6079","5208",
"마포구","외국인-여자[명]","명","6406","6423","6945","7401","8228","7514",
"마포구","가구-계[가구]","가구","159636","158474","157877","159850","162161","166007",
"마포구","일반가구[가구]","가구","154981","153610","152814","154940","156885","160681",
"마포구","집단가구[가구]","가구","100","74","81","106","102","100",
"마포구","외국인가구[가구]","가구","4555","4790","4982","4804","5174","5226",
"마포구","주택-계[호]","호","116135","118456","118355","118619","119298","122311",
"마포구","단독주택[호]","호","14302","13685","12607","12225","11854","11618",
"마포구","아파트[호]","호","63071","65418","66349","66582","68111","70307",
"마포구","연립주택[호]","호","3683","3604","3464","3227","3165","3142",
"마포구","다세대주택[호]","호","33508","34232","34356","35003","34577","35643",
"마포구","비거주용 건물내 주택[호]","호","1571","1517","1579","1582","1591","1601",
"마포구","주택이외의 거처[호]","호","9847","10493","11637","13712","14612","15829",
"양천구","총인구[명]","명","465512","460267","452111","445591","440354","439068",
"양천구","남자[명]","명","229878","226927","222503","218975","216078","214978",
"양천구","여자[명]","명","235634","233340","229608","226616","224276","224090",
"양천구","내국인-계[명]","명","459665","454621","446643","439910","434133","433221",
"양천구","내국인-남자[명]","명","227166","224290","220035","216381","213211","212412",
"양천구","내국인-여자[명]","명","232499","230331","226608","223529","220922","220809",
"양천구","외국인-계[명]","명","5847","5646","5468","5681","6221","5847",
"양천구","외국인-남자[명]","명","2712","2637","2468","2594","2867","2566",
