"시도별(1)",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"울산",100,7,22,15,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,7,22,15,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,7,22,15,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,4,6,24,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,4,6,24,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,6,10,29,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"세종",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,18,18,60,208,0,0,0,0,1,16,1,10,5,5,0,0,0,0
"경기",9862,519,782,1253,7305,19,41,164,1347,37,242,4,47,28,40,9,17,9,23,9547,509,759,1253,7096,19,41,150,1203,37,244,4,52,31,45,9,17,7,7,9002,477,679,1265,6626,19,41,133,1085,39,247,6,57,51,103,19,24,8,8,9096,346,380,1460,7171,1,1,160,1082,39,251,6,57,57,107,12,12,3,3,8504,331,346,1459,6810,2,2,126,843,40,249,6,60,53,74,12,12,12,14,9107,379,394,1597,7249,4,4,138,907,21,289,6,60,88,146,12,12,12,14
"강원",4044,171,272,570,3504,2,4,7,53,12,114,2,16,9,16,7,13,12,43,4162,172,277,612,3593,2,4,7,53,15,123,3,20,9,16,12,25,10,39,4078,164,244,586,3325,2,4,38,285,14,121,3,20,14,21,8,20,10,38,3882,132,172,602,3276,0,0,31,217,14,118,3,20,14,21,8,20,10,38,3618,108,111,626,3132,0,0,21,136,24,122,3,20,14,21,9,17,14,49,3565,109,112,629,3096,0,0,21,135,24,120,3,15,14,21,9,17,14,49
"충북",2548,141,247,327,1884,8,18,38,264,3,55,1,25,7,13,0,0,9,37,2838,151,220,377,2181,8,18,38,264,3,61,1,25,7,13,0,0,7,33,2922,159,233,392,2250,6,15,38,264,4,85,1,25,7,13,0,0,7,33,2917,99,111,454,2362,1,1,43,278,4,90,1,25,7,13,0,0,7,33,2815,96,115,448,2237,1,1,43,278,4,90,1,25,9,14,0,0,7,33,2815,99,120,452,2223,1,1,43,272,5,107,1,25,13,30,0,0,7,33
"충남",2362,91,190,358,1947,0,0,24,160,4,58,0,0,2,7,0,0,8,23,2387,97,197,332,1929,0,0,24,160,4,60,0,0,2,7,0,0,9,24,2403,106,173,294,1650,1,2,75,512,4,56,0,0,4,5,2,4,1,1,2401,59,72,345,1741,0,0,78,514,4,66,0,0,2,3,2,4,1,1,2251,44,48,352,1728,0,0,59,364,4,63,0,0,6,6,0,0,2,3,3572,68,72,539,3076,1,1,67,339,4,63,0,0,18,18,0,0,2,3
"전북",3365,177,270,409,2314,4,12,82,619,7,98,1,25,0,0,9,17,0,0,3508,190,291,419,2385,4,12,82,619,7,104,1,25,0,0,9,15,1,1,3445,195,305,416,2361,0,0,96,631,7,97,1,25,5,8,5,5,1,1,3466,117,151,510,2531,0,0,96,631,7,101,1,25,7,10,5,5,0,0,3458,110,147,503,2486,0,0,99,631,7,103,1,25,7,10,5,5,0,0,3554,112,144,548,2622,0,0,99,631,7,105,1,25,7,10,5,5,0,0
"전남",5060,185,307,1013,4231,15,23,63,424,4,47,0,0,5,11,0,0,4,5,5175,218,374,1008,4206,15,23,63,424,4,46,1,1,5,11,0,0,12,43,5223,228,383,1025,4156,15,23,63,424,4,46,1,1,8,14,2,4,16,60,5228,113,151,1159,4614,19,27,50,294,4,46,1,1,13,19,2,4,16,60,5159,79,105,1188,4576,13,13,56,295,4,46,1,1,14,20,2,2,16,60,4746,83,106,804,3659,3,3,59,285,4,46,1,1,18,24,3,3,17,58
"경북",4352,127,207,696,3988,0,0,13,112,3,30,0,0,0,0,0,0,12,15,4670,163,260,739,4235,0,0,13,108,3,30,0,0,0,0,5,5,9,12,4610,153,244,740,4232,0,0,13,108,3,30,0,0,0,0,5,5,9,12,4512,142,193,736,4118,0,0,13,100,6,55,0,0,6,6,5,5,16,35,4481,143,213,735,4023,0,0,13,100,6,55,0,0,10,10,5,5,16,35,4516,135,182,754,4112,0,0,13,100,6,55,0,0,19,27,5,5,16,35
"경남",5955,322,515,795,5173,14,20,8,37,10,112,3,53,19,33,0,0,2,4,6437,371,574,851,5254,14,20,39,317,11,125,4,61,32,62,0,0,1,1,6753,385,583,932,5475,14,20,39,317,21,153,4,70,40,69,0,0,8,32,6385,299,403,977,5147,8,8,70,464,23,168,4,76,48,77,0,0,8,32,6340,253,332,1015,5133,8,8,70,464,21,178,5,80,47,62,3,10,7,27,6365,266,349,1035,5167,8,8,70,464,22,176,5,80,52,74,3,10,7,27
"제주",1223,93,127,178,914,4,7,12,76,8,51,3,16,6,12,0,0,15,20,1288,95,129,189,979,6,11,9,56,9,55,3,16,6,12,0,0,15,20,1265,92,130,196,963,7,14,9,56,8,50,3,16,11,12,0,0,15,20,1449,75,76,259,1206,2,4,14,63,8,52,3,16,11,12,0,0,15,20,1430,66,66,260,1188,1,1,15,66,8,52,3,16,11,12,0,0,15,20,1467,64,64,270,1239,1,1,14,59,8,52,3,16,11,12,2,2,16,22
